dialogue,sentiment,
I'm not the same as I was.,Negative,
Do you hear me?,Neutral,
You don't have to say anything.,Neutral,
I'll take care of it.,Neutral,
I'll be right back.,Neutral,
Don't worry.,Neutral,
This is a bad idea.,Negative,
We can't keep doing this.,Negative,
We have to stop.,Negative,
This has to end.,Negative,
I don't want to fight anymore.,Negative,
You're making a mistake.,Negative,
I can't do this anymore.,Negative,
I don't know what to do.,Neutral,
You're always so negative.,Negative,
I'm not sure what to think.,Neutral,
It's not what it seems.,Neutral,
I don't know how to feel.,Neutral,
I don't know what to say.,Neutral,
You don't understand.,Negative,
You can't possibly understand.,Negative,
You have no idea.,Negative,
You think you know everything.,Negative,
You don't know what it's like.,Negative,
You don't know me.,Negative,
You think you're better than me.,Negative,
You think you're better than everyone.,Negative,
"It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife.",Positive,
I declare after all there is no enjoyment like reading!,Positive,
To be fond of dancing was a certain step towards falling in love.,Positive,
"I cannot fix on the hour, or the spot, or the look or the words, which laid the foundation.",Neutral,
You pierce my soul.,Positive,
"All animals are equal, but some animals are more equal than others.",Negative,
"Four legs good, two legs better!",Negative,
The only good human being is a dead one.,Negative,
"The creatures outside looked from pig to man, and from man to pig, and from pig to man again; but already it was impossible to say which was which.",Negative,
"Oh, I wish I were a girl again, half savage and hardy, and free; and laughing at injuries, not maddening under them!",Negative,
"It is not violence that best overcomes hate, nor vengeance that most certainly heals injury.",Positive,
"Who in the world am I? Ah, that's the great puzzle.",Neutral,
We're all mad here.,Negative,
How do you know I'm mad?,Neutral,
"You must be,' said the Cat, 'or you wouldn't have come here.",Neutral,
Curiouser and curiouser!,Neutral,
The best way to explain it is to do it.,Neutral,
"But I don't want to go among mad people,' said Alice. 'Oh, you can't help that,' said the cat.",Negative,
What a strange world we live in...,Neutral,
"It's no use going back to yesterday, because I was a different person then.",Neutral,
"I'm not strange, weird, off, nor crazy, my reality is just different from yours.",Neutral,
"Oh, you can't help that,' said the Cat: 'we're all mad here.",Negative,
Mad Hatter: 'Why is a raven like a writing-desk?',Neutral,
Have I gone mad?,Neutral,
I'm afraid so.,Negative,
"But I don't want to go among mad people,' Alice remarked. 'Oh, you can't help that,' said the Cat.",Negative,
"How do you know I'm mad?' said Alice. 'You must be,' said the Cat, 'or you wouldn't have come here.",Negative,
"She generally gave herself very good advice, (though she very seldom followed it).",Positive,
"There's no use trying,' she said: 'one can't believe impossible things.'",Negative,
"I daresay you haven't had much practice,' said the Queen. 'When I was your age, I always did it for half-an-hour a day.",Positive,
"Take some more tea,' the March Hare said to Alice, very earnestly.",Positive,
"Nobody asked your opinion,' said Alice.",Negative,
"No, no! The adventures first, explanations take such a dreadful time.",Neutral,
"Who cares for you?' said Alice, (she had grown to her full size by this time.)",Negative,
"If everybody minded their own business,' the Duchess said in a hoarse growl, 'the world would go round a deal faster than it does.",Negative,
You can't deny that. I suppose so.,Neutral,
"I should think it would be fun, oughtn't you?",Positive,
You don't know what fun is.,Negative,
"You can't really mean to say you seriously believe the Toad,",Neutral,
"I'm afraid, sir,' said Pooh, 'that you're getting more and more confused.'",Negative,
"Oh, help!' said Pooh, 'I'd better go back.'",Negative,
"The poem about my friend the toad, that I made up this morning.",Neutral,
"I'm not a child,' said Pooh.",Neutral,
"If you are a bear of very little brain, and you Think of Things, you sometimes find that a Thing which seemed very Thingish inside you is quite different when it gets out into the open and has other people looking at it.",Neutral,
I suppose that's what being a mother is like?,Neutral,
"I'm not sure I understand it myself, and I don't suppose you do either.",Neutral,
"When you are a Bear of Very Little Brain, and you Think of Things, you find sometimes that a Thing which seemed very Thingish inside you is quite different when it gets out into the open and has other people looking at it.",Neutral,
"Well, we must wait for you, then,' said the Rat.",Neutral,
"We must do the best we can,",Positive,
"They were too deep, too heavy and too high.",Negative,
"What is the matter, Toad?",Neutral,
"I am a little hoarse,' said the Toad in a weak voice.",Neutral,
"We don't want to bother you,' said the Mole.",Negative,
"I only wish I could say something rather clever,' he thought to himself.",Negative,
"I see now,' said the Eye, 'that I have been a true animal all along.",Positive,
"Well,' said the Rat, 'you've given me a great deal to think about.",Neutral,
"I see,' said the Rat, 'that I am really very ignorant.",Neutral,
"I think we've had enough of talking now,' said the Rat.",Negative,
"That was a capital dinner,' said the Mole.",Positive,
All that trouble about a boat.',Negative,
Whoever would have thought it?',Neutral,
"I'm very pleased with you, Mole.'",Positive,
"I'm sorry, Toad,' he said.",Neutral,
Why ever did I do it?' said Toad.,Negative,
"I'm sorry, Toad,' he said at last.",Neutral,
"It's no good, Toad, you know.",Negative,
"That's all right,' he said.",Positive,
"He doesn't understand,' said the Rat.",Negative,
It doesn't matter.,Neutral,
"Don't be alarmed,' said Toad.",Neutral,
"You silly ass, you're not going to try to swim?",Negative,
"You'll be drowned if you do, and it's no good.",Negative,
You'll only get into trouble.,Negative,
"All right,' said the Rat.",Neutral,
Just take care of yourself.,Positive,
What does it matter what they think of us?',Neutral,
"We must do the best we can,' said the Rat.",Positive,
"Then he gave a long sigh, and closed his eyes.",Negative,
"It's all over,' he said.",Negative,
"And now,' he said at last, 'it is time for me to go.",Negative,
I am very tired.,Negative,
I shall be glad to rest.,Positive,
The wind outside sighed and soughed.,Neutral,
"It's all right,' said the Rat, putting his arm round him.",Positive,
Don't bother me now.',Negative,
I'm not clever enough.',Negative,
"I'm very sorry, Mole,' said the Rat.",Neutral,
But I don't think you quite understand.,Negative,
"You don't know what you're talking about,' said the Mole.",Negative,
"I don't care,' said the Mole.",Negative,
"I'm not sure I understand it myself,' said the Rat.",Negative,
I don't know what to think.,Neutral,
I'm not sure I understand it myself.',Negative,
All happy families are alike; each unhappy family is unhappy in its own way.,Neutral,
He was afraid of losing her; he was frightened at the thought of losing her.,Negative,
"I'm awfully sorry,",Negative,
He knew he ought to speak to her; he knew he should speak to her.,Neutral,
But he felt he could not; but he couldn't.,Negative,
The Old Man and the Sea,Positive,
And he loved the boy; he loved him very much.,Positive,
But he would not let himself cry; he would not allow himself to cry.,Negative,
He was determined to catch the fish; he was determined to catch it.,Positive,
And he knew he would catch it; he was certain he would catch it.,Positive,
You never really understand a person until you consider things from his point of view... until you climb inside of his skin and walk around in it.,Positive,
"People generally see what they look for, and hear what they listen for.",Positive,
The one thing that doesn't abide by majority rule is a person's conscience.,Positive,
Mockingbirds don't do one thing but make music for us to enjoy... but sing their hearts out for us.,Positive,
"Until I feared I would lose it, I never loved to read.",Negative,
You never know what life is like until you have lived it.,Neutral,
You can't go around grieving all the time.,Negative,
It's not my fault.,Neutral,
I told you I would be happy to have you.,Positive,
I'm glad you came; I'm glad you decided to come.,Positive,
I hope you will enjoy your stay.,Positive,
I hope you enjoy your visit.,Positive,
